date,home_team,visitor_team,q3_total,q4_total,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-02-19,Philadelphia 76ers,Atlanta Hawks,58.5,56.5,-1.5,120.0,-140.0,-1.5,110.0,-130.0,,,,,,,,,,,,
2026-02-19,Cleveland Cavaliers,Brooklyn Nets,57.5,54.5,,,,,,,,,,,,,,,,,,
2026-02-19,Charlotte Hornets,Houston Rockets,56.5,54.5,1.5,-115.0,-105.0,1.5,-125.0,105.0,,,,,,,,,,,,
2026-02-19,Washington Wizards,Indiana Pacers,60.5,,,,,,,,,,,,,,,,,,,
2026-02-19,New York Knicks,Detroit Pistons,55.5,53.5,-1.5,,-120.0,-1.5,105.0,-125.0,,,,,,,,,,,,
2026-02-19,Chicago Bulls,Toronto Raptors,60.5,57.5,1.5,-115.0,-105.0,1.5,-115.0,-105.0,,,,,,,,,,,,
2026-02-19,San Antonio Spurs,Phoenix Suns,56.5,53.5,-2.5,,-120.0,-1.5,-110.0,-110.0,,,,,,,,,,,,
2026-02-19,Golden State Warriors,Boston Celtics,52.5,49.5,1.5,-115.0,-105.0,1.5,-120.0,,,,,,,,,,,,,
2026-02-19,Sacramento Kings,Orlando Magic,55.5,,,,,,,,,,,,,,,,,,,
2026-02-19,Los Angeles Clippers,Denver Nuggets,59.5,56.5,1.5,-115.0,-105.0,1.5,-130.0,110.0,,,,,,,,,,,,
