date,home_team,visitor_team,home_tri,away_tri,actual_q1_total,actual_q2_total,actual_q3_total,actual_q4_total,actual_h1_total,actual_h2_total,actual_game_total,pred_q1_total,pred_q2_total,pred_q3_total,pred_q4_total,pred_h1_total,pred_h2_total,pred_game_total,err_q1_total,err_q2_total,err_q3_total,err_q4_total,err_h1_total,err_h2_total,err_game_total
2026-03-01,New York Knicks,San Antonio Spurs,NYK,SAS,43.0,49.0,57.0,54.0,92.0,111.0,203.0,55.79506561482507,56.79501225803129,56.18535783941161,54.77693245179456,112.59007787285636,110.96229029120616,223.5523681640625,-12.79506561482507,-7.795012258031292,0.8146421605883916,-0.7769324517945577,-20.590077872856355,0.037709708793840946,-20.5523681640625
2026-03-01,Brooklyn Nets,Cleveland Cavaliers,BKN,CLE,53.0,45.0,51.0,59.0,98.0,110.0,208.0,57.04053733098512,57.34007574542163,56.25725553538525,55.16938236477049,114.38061307640676,111.42663790015574,225.8072509765625,-4.040537330985117,-12.340075745421629,-5.257255535385248,3.8306176352295083,-16.38061307640676,-1.4266379001557397,-17.8072509765625
2026-03-01,Chicago Bulls,Milwaukee Bucks,CHI,MIL,62.0,55.0,59.0,41.0,117.0,100.0,217.0,58.05690129995883,57.99968546816548,57.97731120544216,56.39189853522264,116.0565867681243,114.3692097406648,230.42579650878903,3.943098700041169,-2.999685468165481,1.022688794557837,-15.391898535222637,0.9434132318756951,-14.3692097406648,-13.425796508789034
2026-03-01,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,53.0,55.0,64.0,53.0,108.0,117.0,225.0,57.99393466880383,57.95929913994114,56.52417124973894,54.86956454600826,115.95323380874495,111.3937357957472,227.3469696044922,-4.993934668803831,-2.9592991399411375,7.4758287502610585,-1.869564546008263,-7.953233808744955,5.6062642042527955,-2.3469696044921875
2026-03-01,Indiana Pacers,Memphis Grizzlies,IND,MEM,68.0,57.0,49.0,22.0,125.0,71.0,196.0,57.49061699283365,58.12616773768587,57.37121501643002,55.83939283117545,115.61678473051953,113.21060784760547,228.827392578125,10.509383007166349,-1.1261677376858685,-8.371215016430021,-33.83939283117545,9.383215269480473,-42.21060784760547,-32.827392578125
2026-03-01,Atlanta Hawks,Portland Trail Blazers,ATL,POR,69.0,47.0,,,116.0,0.0,116.0,57.12999778869803,57.26310236700583,57.393077912207296,55.46170096040913,114.39310015570383,112.85477887261644,227.2478790283203,11.870002211301973,-10.263102367005828,,,1.6068998442961657,-112.85477887261644,-111.24787902832031
2026-03-01,Boston Celtics,Philadelphia 76ers,BOS,PHI,54.0,58.0,60.0,40.0,112.0,100.0,212.0,55.41571429903613,54.93224984661503,54.78734616532067,53.43060765777816,110.34796414565116,108.21795382309884,218.56591796875,-1.4157142990361322,3.0677501533849707,5.21265383467933,-13.430607657778161,1.6520358543488385,-8.217953823098838,-6.56591796875
2026-03-01,Orlando Magic,Detroit Pistons,ORL,DET,49.0,17.0,,,66.0,0.0,66.0,56.437162757301486,56.71125819438075,56.17910992020551,55.36704920623724,113.14842095168224,111.54615912644276,224.694580078125,-7.437162757301486,-39.71125819438075,,,-47.14842095168224,-111.54615912644276,-158.694580078125
2026-03-01,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,61.0,46.0,45.0,35.0,107.0,80.0,187.0,57.0878353089512,57.94899873061228,56.39166411214519,55.25959694106477,115.03683403956347,111.65126105320996,226.68809509277344,3.912164691048801,-11.948998730612281,-11.391664112145193,-20.25959694106477,-8.036834039563473,-31.651261053209964,-39.68809509277344
2026-03-01,Los Angeles Clippers,New Orleans Pelicans,LAC,NOP,75.0,71.0,55.0,53.0,146.0,108.0,254.0,57.43096560993339,58.13410818835664,57.2195067301615,56.25110977916568,115.56507379829004,113.47061650932716,229.0356903076172,17.569034390066612,12.865891811643358,-2.2195067301614984,-3.251109779165681,30.434926201709956,-5.470616509327158,24.964309692382812
2026-03-01,Los Angeles Lakers,Sacramento Kings,LAL,SAC,54.0,59.0,59.0,60.0,113.0,119.0,232.0,56.38052344281241,57.895820265987226,55.3404240580335,54.78144085133095,114.27634370879964,110.12186490936443,224.3982086181641,-2.380523442812411,1.1041797340127744,3.6595759419665015,5.218559148669051,-1.2763437087996437,8.878135090635567,7.601791381835909
